country,fp_relationships
JAPAN,1176
CANADA,820
MEXICO,582
GREAT BRITAIN,548
FRANCE,510
KOREA SOUTH,444
GERMANY FEDERAL REPUBLIC OF,390
INTERNATIONAL,337
ISRAEL,313
USSR,303
CHINA,277
TAIWAN,273
SAUDI ARABIA,273
RUSSIA,248
DOMINICAN REPUBLIC,237
ITALY,231
NETHERLANDS,224
SWITZERLAND,203
TURKEY,196
AUSTRALIA,193
VENEZUELA,186
UKRAINE,186
CUBA,185
HAITI,182
GERMANY,182
BRAZIL,181
POLAND,181
SPAIN,179
PHILIPPINES,172
UNITED ARAB EMIRATES,171
PANAMA,169
SOUTH AFRICA,159
NIGERIA,158
COLOMBIA,156
SWEDEN,155
HONG KONG,134
ROMANIA,132
QATAR,131
ARGENTINA,131
JAMAICA,131
PAKISTAN,130
INDIA,129
IRAQ,124
INDONESIA,121
AUSTRIA,120
CZECHOSLOVAKIA,116
GUATEMALA,110
MOROCCO,107
THAILAND,105
BELGIUM,102
HUNGARY,101
NORWAY,100
NICARAGUA,99
BAHAMAS,98
IRELAND,97
EGYPT,96
LIBERIA,95
GREECE,94
DENMARK,87
CHILE,86
EL SALVADOR,85
LIBYA,80
ANGOLA,79
PERU,79
BERMUDA,75
ECUADOR,75
CAYMAN ISLANDS,74
GEORGIA,74
CONGO DEMOCRATIC REPUBLIC OF THE,73
UNITED KINGDOM,72
COSTA RICA,72
IRAN,69
YUGOSLAVIA,69
MALAYSIA,68
CONGO REPUBLIC OF THE,67
BULGARIA,67
KAZAKHSTAN,64
COTE D&apos;IVOIRE (IVORY COAST),64
GERMAN DEMOCRATIC REPUBLIC,64
ETHIOPIA,63
LEBANON,62
HONDURAS,61
FINLAND,61
KUWAIT,60
AZERBAIJAN,59
BARBADOS,59
CYPRUS,58
SINGAPORE,58
PORTUGAL,56
JORDAN,55
SOMALI DEMOCRATIC REPUBLIC,51
NEW ZEALAND,51
NETHERLANDS ANTILLES,50
AFGHANISTAN,47
GABON,47
KENYA,46
ALGERIA,46
SUDAN,45
SCOTLAND,44
BANGLADESH,43
VIETNAM,42
BOLIVIA,42
SERBIA,41
ALBANIA,41
TRINIDAD AND TOBAGO,41
UZBEKISTAN,40
CAMBODIA,39
BAHRAIN,39
SRI LANKA,39
BOSNIA &amp; HERZEGOVINA,37
ICELAND,37
PALESTINE,36
GUYANA,35
MARSHALL ISLANDS,35
UGANDA,34
TUNISIA,33
GHANA,30
CAMEROON,30
LUXEMBOURG,30
NORTHERN IRELAND,30
CROATIA,29
ZIMBABWE,28
ARUBA,28
TOGO,26
KOSOVA,26
CURACAO,26
ANTIGUA &amp; BARBUDA,25
ZAIRE,25
GRENADA,23
MOZAMBIQUE,23
SYRIA,23
YEMEN,23
MONGOLIA,22
OMAN,22
ZAMBIA,22
MALAWI,21
SIERRA LEONE,21
BRITISH VIRGIN ISLANDS,20
SAINT LUCIA,20
UNITED STATES,20
NAMIBIA,19
EQUATORIAL GUINEA,19
LATVIA,19
RWANDA,18
SENEGAL,18
MYANMAR (BURMA),17
PARAGUAY,17
TANZANIA,16
ARMENIA,16
LITHUANIA,16
GUINEA,15
MOLDOVA,15
URUGUAY,15
MAURITANIA,14
MONACO,14
DOMINICA,14
MACEDONIA,14
BENIN,13
ERITREA,13
LIECHTENSTEIN,13
BELIZE,13
SURINAME,13
MALTA,13
ST. KITTS AND NEVIS,12
TURKS AND CAICOS ISLANDS,12
BELARUS,12
PALAU,12
SLOVENIA,12
SOMALIA,11
BOTSWANA,11
PAPUA NEW GUINEA,11
FIJI,11
CZECHIA,11
SWAZILAND,11
MONTENEGRO,10
BURKINA FASO,10
MAURITIUS,10
SLOVAKIA,10
ANGUILLA,10
BURUNDI,9
KYRGYZSTAN,9
BIAFRA,9
MALDIVES,9
MALI,8
CHAD,8
GAMBIA THE,8
LAOS,8
BRUNEI,8
SOUTH SUDAN,7
NIGER,7
SEYCHELLES,7
REPUBLIC OF SOUTH SUDAN,7
CABO VERDE,7
TIBET,7
SAINT VINCENT AND THE GRENADINES,7
NAURU,7
TONGA,7
BOPHUTHATSWANA,7
MONTSERRAT,7
TRANSKEI,7
SOMALILAND,6
MICRONESIA,6
VANUATU,6
LESOTHO,6
MACAU,6
NEPAL,6
MADAGASCAR,6
ISLE OF MAN,6
VIRGIN ISLANDS,6
PUERTO RICO,6
CEYLON (SRI LANKA),6
TAHITI,5
