paying_advertiser,n_ads
Harris for President,6470
Voter Formation Project,1262
Biden for President,993
Patagonia,925
By Duty to America,883
MATW,750
"Project Unloaded, Inc.",428
Send the Vote,423
Americans for ConsumerProtection,418
Elissa Slotkin for Michigan,381
Future Forward PAC,336
The Daily Wire LLC,288
Voter Participation Center,268
European Parliament,265
HUMAN APPEAL,263
Future Forward,245
Friends of Sherrod Brown,206
Priorities USA,183
Climate Power,181
Human Appeal France,174
New Venture Fund,168
Alexandria Ocasio-Cortez 2022,147
Vote Like a Madre,144
BHARTIYA JANTA PARTY,139
MD State Board of Elections,135
Majority Forward,132
CD&V,131
Forward Blue,118
Life for Relief and Development,114
Humaniti,108
Katie Porter for Senate,104
League of Women Voters EF,102
United Association,97
Working America,88
DCCC,87
Future Voice,84
Human Development Fund (HDF),80
The Civics Center,74
NV for Reproductive Freedom,72
The Wisco Project,72
