ai_tool,cases
Implied,1296
Unidentified,402
ChatGPT,118
Claude,11
implied,6
Perplexity,5
Copilot,5
Grok,4
CoCounsel,4
Google Gemini,4
Gemini,3
Microsoft Copilot,3
Claude AI,2
Westlaw Precision,2
Google AI,2
Fastcase,2
Centient AI,2
Westlaw,2
LexisNexis,2
Westlaw CoCounsel,2
Grammarly,2
OpenAI,2
MS Copilot,2
Irys,1
Gemini Pro,1
Cetient Legal AI,1
Open Law,1
other generative AI platforms,1
LegalPA,1
GPT-3.5,1
Cetient,1
Eve Legal,1
First Drafts,1
Deepseek,1
LexisNexis AI,1
MX2.law,1
Lexis,1
Claude or ChatGPT,1
LexisNexis+ (Protégé),1
Cocounsel (Westlaw),1
EVE,1
OpenCase,1
Perplexity.AI,1
Eve.legal,1
Protégé (LexisNexis),1
NotebookLM,1
vLex,1
Paxton AI,1
Microsoft Co-Pilot,1
Lexis+ AI,1
LexisNexis Protégé,1
OpenAI ChatGPT-4o,1
Lexis Assist,1
Bloomberg Law,1
Clearpoint,1
Federally Lawyer,1
ChatGPT Plus,1
CourtAid,1
ChatGPT-4,1
Clear Brief,1
Lexis Nexis & Westlaw,1
Bard,1
Google AI Overview,1
Amicus (Casemine),1
Google,1
LEAP legal software,1
Ghostwriter Legal,1
ProWritingAid,1
FastCase,1
Westlaw's Quick Check,1
AI Case Search Tool,1
VLex Fastcase,1
Microsoft CoPilot,1
Implied (by me),1
Gen AI,1
Westlaw (and others unidentified),1
Claude Sonnet 4,1
Co-Pilot,1
Westlaw’s AI,1
Google Scholar (allegedly),1
Legal Genius,1
Athena AI,1
Visto.Ai,1
ChatGTP,1
Google Search,1
Tachdin.AI,1
Claude.ai,1
Westlaw's AI tools,1
GPT4.5 Deep Research (Pro),1
Google Search (Allegedly),1
Implied use of MobiOffice's AI Assistant,1
Lexis+AI,1
ChatOn,1
Archie (Smokeball),1
Internal tool (ChatGPT),1
"""Internet searches""",1
Lexis Nexis's AI,1
GPT-4o,1
CHATGPT 3,1
EyeLevel,1
LEAP,1
Google Bard,1
